Ideus code;EAN barcode;Product name;Availability;Photo;Product type;Power supply;Power;Colour;Lampholder type;Dedicated light source;Replacing the light source;Dimmer compatibility;Colour temperature;Light colour;Luminous flux;Luminous beam angle;Ra;Light source lifetime;Power switch;Adjusting the lighting direction;IP;Possibility of outdoor use;Minimum distance from a lit object;Electric shock protection class;CE;Material;Comments;Height;Width;Depth;Mounting hole x;Mounting hole y
00596;5901477305962;PANTERKA E14 3I (manavgat hl792n);100;00596.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;3 x max 9 W;chrome;E14;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel, glass;;190;505;80;0;0;
00598;5901477305986;PANTERKA E14 4I (manavgat hl793n);100;00598.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;4 x max 9 W;chrome;E14;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel, glass;;190;645;80;0;0;
00599;5901477305993;PANTERKA E14 3C (manavgat hl794n);100;00599.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;3 x max 9 W;chrome;E14;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;stainless steel, glass;;190;170;170;0;0;
01146;5901477311468;BINGO L E27 INOX (mango hl237);100;01146.jpg;Hermetic ceiling light fitting;220-240V 50/60Hz;max 15 W;matt chrome;E27;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;no;44;yes;0.5;2;yes;stainless steel, polycarbonate PC;;100;320;90;0;0;
01147;5901477311475;BINGO E E27 INOX (mango hl238);100;01147.jpg;Hermetic ceiling light fitting;220-240V 50/60Hz;max 15 W;matt chrome;E27;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;no;44;yes;0.5;2;yes;stainless steel, polycarbonate PC;;100;320;90;0;0;
01231;5901477312311;OKTAN D CHROME;100;01231.jpg;Ceiling lighting point fitting;12V;max 50 W;chrome;GU5.3;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;3;yes;aluminium alloy cast;;20;84;84;75;0;
01232;5901477312328;OKTAN D MATCHR;100;01232.jpg;Ceiling lighting point fitting;12V;max 50 W;matt chrome;GU5.3;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;3;yes;aluminium alloy cast;;20;84;84;75;0;
01338;5901477313387;MIRA D BROWN (HL800);100;01338.jpg;Ceiling lighting point fitting;12V;max 20 W;brown;G4;JC;yes;;0;;;0;;0;no;no;20;no;0.5;3;yes;glass;;70;85;85;53;0;
01343;5901477313431;MIRA C BROWN (HL801);100;01343.jpg;Ceiling lighting point fitting;12V;max 20 W;brown;G4;JC;yes;;0;;;0;;0;no;no;20;no;0.5;3;yes;glass;;70;90;90;53;0;
01674;5901477316746;NADIA G9 CHROME;77;01674.jpg;Decorative fitting;220-240V 50/60Hz;2 x max 40 W;chrome;G9;LED;yes;;0;;;0;;0;;yes;20;no;0.5;1;yes;stainless steel;;80;300;180;0;0;
01675;5901477316753;NADIA G9 MAT CHROME;0;01675.jpg;Decorative fitting;220-240V 50/60Hz;2 x max 40 W;matt chrome;G9;LED;yes;;0;;;0;;0;;yes;20;no;0.5;1;yes;stainless steel;;80;300;180;0;0;
02117;5901477321177;MILTON LED D 6W WHITE CW;100;02117.jpg;Ceiling lighting point SMD LED fitting;230V 50Hz;6 W;white;;SMD LED, in set;no;no;5700;cold white;492 lm;120;>80;30000;no;no;20;no;0.5;2;yes;aluminium alloy cast, acrylic glass;;35;110;110;95;95;
02119;5901477321191;MILTON LED D 6W MATCHR CW;10;02119.jpg;Ceiling lighting point SMD LED fitting;230V 50Hz;6 W;matt chrome;;SMD LED, in set;no;no;5700;cold white;492 lm;120;>80;30000;no;no;20;no;0.5;2;yes;aluminium alloy cast, acrylic glass;;35;110;110;95;95;
02126;5901477321269;MILTON LED D 12W WHITE WW;100;02126.jpg;Ceiling lighting point SMD LED fitting;230V 50Hz;12 W;white;;SMD LED, in set;no;no;3000;warm white;1020 lm;120;>80;30000;no;no;20;no;0.5;2;yes;aluminium alloy cast, acrylic glass;;43;155;155;135;135;
02127;5901477321276;MILTON LED D 12W MATCHR CW;100;02127.jpg;Ceiling lighting point SMD LED fitting;230V 50Hz;12 W;matt chrome;;SMD LED, in set;no;no;5700;cold white;1020 lm;120;>80;30000;no;no;20;no;0.5;2;yes;aluminium alloy cast, acrylic glass;;43;155;155;135;135;
02128;5901477321283;MILTON LED D 12W MATCHR WW;12;02128.jpg;Ceiling lighting point SMD LED fitting;230V 50Hz;12 W;matt chrome;;SMD LED, in set;no;no;3000;warm white;1020 lm;120;>80;30000;no;no;20;no;0.5;2;yes;aluminium alloy cast, acrylic glass;;43;155;155;135;135;
02132;5901477321320;MILTON LED C 12W MATCHR WW;0;02132.jpg;Ceiling lighting point SMD LED fitting;230V 50Hz;12 W;matt chrome;;SMD LED, in set;no;no;3000;warm white;1020 lm;120;>80;30000;no;no;20;no;0.5;2;yes;aluminium alloy cast, acrylic glass;;43;155;155;130;0;
02391;5901477323911;EBEN 60 WHITE;0;02391.jpg;Hermetic fixture;220-240V 50/60Hz;max 60 W;white;E27;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;no;54;yes;0.5;2;yes;polypropylene, glass;;115;170;125;0;0;
