Ideus code;EAN barcode;Product name;Availability;Photo;Product type;Power supply;Power;Colour;Lampholder type;Dedicated light source;Replacing the light source;Dimmer compatibility;Colour temperature;Light colour;Luminous flux;Luminous beam angle;Ra;Light source lifetime;Power switch;Adjusting the lighting direction;IP;Possibility of outdoor use;Minimum distance from a lit object;Electric shock protection class;CE;Material;Comments;Height;Width;Depth;Mounting hole x;Mounting hole y
03685;5901477336850;POGO LED 2x36W GRILL;0;03685.jpg;Linear lighting fitting ;220-240V 50/60Hz;2 x max 36 W;white;G13;T8 LED power supply from one side;yes;;0;;;0;;0;no;no;20;no;0.5;1;yes;steel sheet, polystyrene PS;single-end power supply;43;1236;124;0;0;
03686;5901477336867;SOLINA LED L 8W GREY NW;100;03686.jpg;Hermetic fixture;230V 50Hz;8 W;grey;;SMD LED, in set;no;no;4000;neutral white;560 lm;140;>80;30000;no;no;54;yes;0.5;1;yes;aluminium alloy cast, polycarbonate PC;letters and numbers included ;155;250;80;0;0;
03687;5901477336874;MAXIM E27 GREY;100;03687.jpg;Hermetic fixture;220-240V 50/60Hz;max 28 W;grey;E27;compact fluorescent lamp/LED;yes;;0;;;0;;0;no;no;54;yes;0.5;1;yes;aluminium alloy cast, polycarbonate PC;letters and numbers included ;163;165;175;0;0;
03688;5901477336881;FIDO LED 4W D GREY NW;100;03688.jpg;Hermetic fixture;230V 50Hz;4 W;grey;;SMD LED, in set;no;no;4000;neutral white;320 lm;120;>80;20000;no;no;55;yes;0.5;2;yes;polycarbonate PC;;140;140;55;0;0;
03689;5901477336898;FIDO LED 4W L GREY NW;100;03689.jpg;Hermetic fixture;230V 50Hz;4 W;grey;;SMD LED, in set;no;no;4000;neutral white;260 lm;120;>80;20000;no;no;55;yes;0.5;2;yes;polycarbonate PC;;140;140;57;0;0;
03690;5901477336904;ALBIN LED 14W WHITE NW;100;03690.jpg;Hermetic fixture;230V 50Hz;14 W;white;;SMD LED, in set;no;no;4000;neutral white;1320 lm;160;>80;20000;no;no;55;yes;0.5;2;yes;polycarbonate PC;;120;236;68;0;0;
03691;5901477336911;ALBIN LED 20W WHITE NW;100;03691.jpg;Hermetic fixture;230V 50Hz;20 W;white;;SMD LED, in set;no;no;4000;neutral white;1800 lm;160;>80;20000;no;no;55;yes;0.5;2;yes;polycarbonate PC;;150;296;77;0;0;
03692;5901477336928;KLIK PIR WHITE;100;03692.jpg;motion sensor;230V 50Hz;max 500 W;white;;;;;0;;;0;;0;yes;;20;no;0;2;yes;polycarbonate PC;range 160°, maximum motion detection range is 9m (<24°), lighting time regulation between 10s and 7min, possibility of setting ambient lighting intensity (3-2000lx) at which the equipment operates;82;82;25;60;0;
03693;5901477336935;GEST PIR WHITE;100;03693.jpg;motion sensor;230V 50Hz;max 500 W;white;;;;;0;;;0;;0;no;;20;no;0;2;yes;polycarbonate PC;on/off via moving hand, maximum motion detection range is 6cm (<24°);78;36;21;0;0;
03694;5901477336942;OKO PIR WHITE;100;03694.jpg;motion sensor;230V 50Hz;max 1200 W;white;;;;;0;;;0;;0;no;;20;no;0;2;yes;polycarbonate PC;range 360°, maximum motion detection range is 6m (<24°), lighting time regulation between 10s and 15min, possibility of setting ambient lighting intensity (3-2000lx) at which the equipment operates;76;76;76;66;0;
03695;5901477336959;PIXI PIR WHITE;100;03695.jpg;motion sensor;230V 50Hz;max 800 W;white;;;;;0;;;0;;0;no;;65;yes;0;2;yes;polycarbonate PC;range 120°/360°, maximum motion detection range is 6m (<24°), lighting time regulation between 10s and 8min, possibility of setting ambient lighting intensity (3-2000lx) at which the equipment operates;56;26;37;0;0;
03696;5901477336966;AZOR PIR WHITE;100;03696.jpg;motion sensor;230V 50Hz;max 1200 W;white;;;;;0;;;0;;0;no;;44;no;0;2;yes;polycarbonate PC;range 180°, maximum motion detection range is 12m (<24°), lighting time regulation between 10s and 7min, possibility of setting ambient lighting intensity (3-2000lx) at which the equipment operates;60;86;95;0;0;
03697;5901477336973;AGENT PIR WHITE;100;03697.jpg;motion sensor;230V 50Hz;max 1200 W;white;;;;;0;;;0;;0;no;;20;no;0;2;yes;polycarbonate PC;range 360°, maximum motion detection range is 6m (<24°), lighting time regulation between 10s and 7min, possibility of setting ambient lighting intensity (3-2000lx) at which the equipment operates;58;115;115;0;0;
03698;5901477336980;NEO MVS SMALL WHITE;0;03698.jpg;Microwave motion sensor;230V 50Hz;max 1200 W;white;;;;;0;;;0;;0;no;;20;no;0;2;yes;polycarbonate PC;sensor operating angle 180°/360°, motion detection range max 8m, adjustable lighting time from 10s to 12min, the ability to set the level of ambient light intensity (3-2000lx) at which the device works, operating frequency 5,8GHz, transmitter power 1,2mW MAX;40;55;25;0;0;
03699;5901477336997;NEO MVS BIG WHITE;100;03699.jpg;Microwave motion sensor;230V 50Hz;max 1200 W;white;;;;;0;;;0;;0;no;;20;no;0;2;yes;polycarbonate PC;sensor operating angle 360 °, motion detection range max 8m, adjustable lighting time from 10s to 12min, the ability to set the level of ambient light intensity (3-2000lx) at which the device works, operating frequency 5,8GHz, transmitter power 1,2mW MAX;37;64;38;0;0;
03700;5901477337000;BIGBEN LED C 72W NW;100;03700.jpg;Ceiling SMD LED light fitting;230V 50Hz;72 W;white;;SMD LED, in set;no;no;4000;neutral white;5460 lm;160;>80;30000;no;no;44;no;0.5;1;yes;steel sheet, plastic;;130;575;575;0;0;
03701;5901477337017;KROMA LED 20W GREY CW;100;03701.jpg;SMD LED floodlight;230V 50Hz;20 W;grey;;SMD LED, in set;no;no;6200;cold white;1690 lm;120;>80;30000;no;yes;65;yes;0.5;1;yes;aluminium alloy cast, glass;;123;142;23;0;0;
03702;5901477337024;KROMA LED 30W GREY CW;100;03702.jpg;SMD LED floodlight;230V 50Hz;30 W;grey;;SMD LED, in set;no;no;6200;cold white;2600 lm;120;>80;30000;no;yes;65;yes;0.5;1;yes;aluminium alloy cast, glass;;147;177;25;0;0;
03703;5901477337031;KROMA LED 50W GREY CW;100;03703.jpg;SMD LED floodlight;230V 50Hz;50 W;grey;;SMD LED, in set;no;no;6200;cold white;4320 lm;120;>80;30000;no;yes;65;yes;0.5;1;yes;aluminium alloy cast, glass;;178;229;29;0;0;
03704;5901477337048;KROMA LED 100W GREY CW;100;03704.jpg;SMD LED floodlight;230V 50Hz;100 W;grey;;SMD LED, in set;no;no;6200;cold white;8380 lm;120;>80;30000;no;yes;65;yes;0.5;1;yes;aluminium alloy cast, glass;;215;269;32;0;0;
03705;5901477337055;KROMA LED S 20W GREY CW;100;03705.jpg;SMD LED floodlight with a motion sensor;230V 50Hz;20 W;grey;;SMD LED, in set;no;no;6200;cold white;1690 lm;120;>80;30000;no;yes;65;yes;0.5;1;yes;aluminium alloy cast, glass, plastic;driver included, range 30°/120° (V/H), maximum motion detection range is 8m (<24°), lighting time regulation between 5 s and 8 min, possibility of setting ambient lighting intensity (20-2000 lx) at which the equipment operates;156;142;54;0;0;
03706;5901477337062;KROMA LED S 30W GREY CW;100;03706.jpg;SMD LED floodlight with a motion sensor;230V 50Hz;30 W;grey;;SMD LED, in set;no;no;6200;cold white;2600 lm;120;>80;30000;no;yes;65;yes;0.5;1;yes;aluminium alloy cast, glass, plastic;driver included, range 30°/120° (V/H), maximum motion detection range is 8m (<24°), lighting time regulation between 5 s and 8 min, possibility of setting ambient lighting intensity (20-2000 lx) at which the equipment operates;179;177;54;0;0;
03707;5901477337079;KROMA LED S 50W GREY CW;100;03707.jpg;SMD LED floodlight with a motion sensor;230V 50Hz;50 W;grey;;SMD LED, in set;no;no;6200;cold white;4320 lm;120;>80;30000;no;yes;65;yes;0.5;1;yes;aluminium alloy cast, glass, plastic;driver included, range 30°/120° (V/H), maximum motion detection range is 8m (<24°), lighting time regulation between 5 s and 8 min, possibility of setting ambient lighting intensity (20-2000 lx) at which the equipment operates;217;229;59;0;0;
03708;5901477337086;KROMA LED S 100W GREY CW;100;03708.jpg;SMD LED floodlight with a motion sensor;230V 50Hz;100 W;grey;;SMD LED, in set;no;no;6200;cold white;8380 lm;120;>80;30000;no;yes;65;yes;0.5;1;yes;aluminium alloy cast, glass, plastic;driver included, range 30°/120° (V/H), maximum motion detection range is 8m (<24°), lighting time regulation between 5 s and 8 min, possibility of setting ambient lighting intensity (20-2000 lx) at which the equipment operates;247;269;64;0;0;
03709;5901477337093;MONI LED C 5W WW BLACK;100;03709.jpg;Ceiling lighting point SMD LED fitting;230V 50Hz;5 W;black;;SMD LED, in set;no;no;3000;warm white;400 lm;38;>80;30000;no;yes;20;no;0.5;2;yes;polycarbonate PC, ABS;;43;88;88;74;0;
03710;5901477337109;MONI LED D 5W WW BLACK;100;03710.jpg;Ceiling lighting point SMD LED fitting;230V 50Hz;5 W;black;;SMD LED, in set;no;no;3000;warm white;400 lm;38;>80;30000;no;yes;20;no;0.5;2;yes;polycarbonate PC, ABS;;43;88;88;74;0;
03711;5901477337116;HARY C GU10 WHITE;100;03711.jpg;Ceiling lighting fitting;220-240V 50/60Hz;max 35 W;white;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;2;yes;aluminium alloy cast;;124;98;98;0;0;
03712;5901477337123;HARY C GU10 SILVER;100;03712.jpg;Ceiling lighting fitting;220-240V 50/60Hz;max 35 W;silver;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;2;yes;aluminium alloy cast;;124;98;98;0;0;
03713;5901477337130;HARY C GU10 BLACK;100;03713.jpg;Ceiling lighting fitting;220-240V 50/60Hz;max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;2;yes;aluminium alloy cast;;124;98;98;0;0;
03714;5901477337147;HARY D GU10 WHITE;100;03714.jpg;Ceiling lighting fitting;220-240V 50/60Hz;max 35 W;white;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;2;yes;aluminium alloy cast;;123;97;97;0;0;
03715;5901477337154;HARY D GU10 SILVER;100;03715.jpg;Ceiling lighting fitting;220-240V 50/60Hz;max 35 W;silver;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;2;yes;aluminium alloy cast;;123;97;97;0;0;
03716;5901477337161;HARY D GU10 BLACK;100;03716.jpg;Ceiling lighting fitting;220-240V 50/60Hz;max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;2;yes;aluminium alloy cast;;123;97;97;0;0;
03717;5901477337178;MELANIA LED 15W NW;100;03717.jpg;Decorative SMD LED fitting;230V 50Hz;15 W;white;;SMD LED, in set;no;no;4000;neutral white;1470lm;150;>80;30000;yes;no;44;no;0.5;2;yes;polycarbonate PC;for operation in increased-humidity locations, e.g. bathrooms, with transformer;45;598;63;0;0;
03718;5901477337185;DYZMA LED 15W NW;100;03718.jpg;Decorative SMD LED fitting;230V 50Hz;15 W;white;;SMD LED, in set;no;no;4000;neutral white;1380lm;110;>80;30000;yes;no;44;no;0.5;2;yes;polycarbonate PC;for operation in increased-humidity locations, e.g. bathrooms, with transformer;39;598;63;0;0;
03719;5901477337192;NATAN LED 15W NW;100;03719.jpg;Decorative SMD LED fitting;230V 50Hz;15 W;white;;SMD LED, in set;no;no;4000;neutral white;1470lm;150;>80;30000;yes;no;44;no;0.5;2;yes;polycarbonate PC;for operation in increased-humidity locations, e.g. bathrooms, with transformer;45;598;63;0;0;
03720;5901477337208;HUGO LED D 48W WHITE NW;100;03720.jpg;LED panel;230V 50Hz;48 W;white;;SMD LED, in set;no;no;4000;neutral white;4800 lm;115;>80;30000;no;no;44;no;0.5;2;yes;steel sheet, polystyrene PS;;35;595;595;0;0;
03721;5901477337215;ALPEN LED 12W WHITE NW;100;03721.jpg;Decorative SMD LED fitting;230V 50Hz;12 W;white;;SMD LED, in set;no;no;4000;neutral white;660 lm;140;>80;30000;no;no;20;no;0.5;2;yes;steel sheet;;100;200;86;0;0;
03722;5901477337222;OTELLO LED C 6W+3W WHITE;100;03722.jpg;Decorative SMD LED fitting;230V 50Hz;6 W + 3 W;white;;SMD LED, in set;no;no;3000;warm white/neutral white;730 lm;160;>80;30000;yes;yes;20;no;0.5;2;yes;aluminium alloy cast, acrylic glass;driver included, 6W 3000K + 3W 4000K;146;146;80;0;0;
03723;5901477337239;OTELLO LED D 6W+3W WHITE;100;03723.jpg;Decorative SMD LED fitting;230V 50Hz;6 W + 3 W;white;;SMD LED, in set;no;no;3000;warm white/neutral white;730 lm;160;>80;30000;yes;yes;20;no;0.5;2;yes;aluminium alloy cast, acrylic glass;driver included, 6W 3000K + 3W 4000K;186;105;80;0;0;
03724;5901477337246;ZET LED WHITE;0;03724.jpg;SMD LED desk lamp;230V 50Hz;max 5 W;white;;SMD LED, in set;no;tak, ściemniacz w komplecie;2700;warm white/neutral white/cold white;max 350 lm;90;>80;30000;yes;yes;20;no;0.3;2;yes;polycarbonate PC, ABS;driver included, brightness and white light adjustable (WW, NW, CW), touch switch;323;288;120;0;0;
03725;5901477337253;ZET LED BLACK;100;03725.jpg;SMD LED desk lamp;230V 50Hz;max 5 W;black;;SMD LED, in set;no;tak, ściemniacz w komplecie;2700;warm white/neutral white/cold white;max 350 lm;90;>80;30000;yes;yes;20;no;0.3;2;yes;polycarbonate PC, ABS;driver included, brightness and white light adjustable (WW, NW, CW), touch switch;323;288;120;0;0;
03726;5901477337260;MINERAL LED C 48W;100;03726.jpg;Ceiling SMD LED light fitting;230V 50Hz;max 48 W;black;;SMD LED, in set;no;tak, ściemniacz w komplecie;3000;warm white/neutral white/cold white;max 3000 lm;140;>80;30000;no;no;44;no;0.5;1;yes;steel sheet, plastic;driver included, brightness and white light adjustable by remote controller;65;495;495;0;0;
03727;5901477337277;GLORIA LED C 48W;100;03727.jpg;Ceiling SMD LED light fitting;230V 50Hz;max 48 W;chrome;;SMD LED, in set;no;tak, ściemniacz w komplecie;3000;warm white/neutral white/cold white;max 3400 lm;160;>80;30000;no;no;44;no;0.5;1;yes;steel sheet, plastic;driver included, brightness and white light adjustable by remote controller;80;500;500;0;0;
03729;5901477337291;NADEL LED 9W NW;0;03729.jpg;Under-cupboard linear SMD LED fitting;230V 50Hz;9 W;white;;SMD LED, in set;no;no;4000;neutral white;740 lm;135;>80;20000;yes;no;20;no;0.3;2;yes;polycarbonate PC;;37;568;22;0;0;
03730;5901477337307;NADEL LED 12W NW;0;03730.jpg;Under-cupboard linear SMD LED fitting;230V 50Hz;12 W;white;;SMD LED, in set;no;no;4000;neutral white;1020 lm;135;>80;20000;yes;no;20;no;0.3;2;yes;polycarbonate PC;;37;874;22;0;0;
03733;5901477337338;MORGAN LED 12W WHITE NW;100;03733.jpg;Hermetic fixture;230V 50Hz;12 W;white;;SMD LED, in set;no;no;4000;neutral white;1020 lm;160;>80;30000;no;no;65;yes;0.5;2;yes;polycarbonate PC;letters and numbers included, IK10;195;300;52;0;0;
03734;5901477337345;IGA LED D WHITE NW;100;03734.jpg;Decorative SMD LED fitting;230V 50Hz;1,8 W;white;;SMD LED, in set;no;no;4000;neutral white;90 lm;120;>80;20000;no;no;20;no;0.5;2;yes;polycarbonate PC;driver included, surface and recessed installation;15;70;70;64;64;
03735;5901477337352;MATI LED C 1,5W CHROME NW;100;03735.jpg;Decorative POWER LED fitting;230V 50Hz;1,5 W;chrome;;1 POWER LED, in set;no;no;4000;neutral white;90 lm;60;>80;30000;no;yes;20;no;0.3;2;yes;aluminium;;20;52;52;43;0;
03736;5901477337369;MATI LED C 1,5W WHITE NW;100;03736.jpg;Decorative POWER LED fitting;230V 50Hz;1,5 W;white;;1 POWER LED, in set;no;no;4000;neutral white;90 lm;60;>80;30000;no;yes;20;no;0.3;2;yes;aluminium;;20;52;52;43;0;
03737;5901477337376;MATI LED C 1,5W BLACK NW;100;03737.jpg;Decorative POWER LED fitting;230V 50Hz;1,5 W;black;;1 POWER LED, in set;no;no;4000;neutral white;90 lm;60;>80;30000;no;yes;20;no;0.3;2;yes;aluminium;;20;52;52;43;0;
03738;5901477337383;POLA LED 3,5W WHITE NW;100;03738.jpg;Decorative COB LED fitting;230V 50Hz;3,5 W;white;;1 COB LED, in set;no;no;4000;neutral white;245 lm;120;>80;30000;yes;yes;20;no;0.3;2;yes;aluminium, acrylic glass;;415;75;30;0;0;
03739;5901477337390;POLA LED 3,5W BLACK NW;100;03739.jpg;Decorative COB LED fitting;230V 50Hz;3,5 W;black;;1 COB LED, in set;no;no;4000;neutral white;245 lm;120;>80;30000;yes;yes;20;no;0.3;2;yes;aluminium, acrylic glass;;415;75;30;0;0;
03740;5901477337406;NINA LED 3W SILVER NW;100;03740.jpg;Decorative POWER LED fitting;230V 50Hz;3 W;silver;;1 POWER LED, in set;no;no;4000;neutral white;160 lm;60;>80;30000;yes;yes;20;no;0.3;2;yes;aluminium, acrylic glass;;400;75;30;0;0;
03741;5901477337413;SOPRAN LED 6W WHITE NW;100;03741.jpg;Decorative SMD LED fitting;230V 50Hz;6 W;white;;SMD LED, in set;no;no;4000;neutral white;505 lm;140;>80;30000;no;no;20;no;0.5;2;yes;steel sheet;;130;210;70;0;0;
03742;5901477337420;MAJOR LED C 18W WHITE NW;100;03742.jpg;Hermetic fixture;230V 50Hz;18 W;white;;SMD LED, in set;no;no;4000;neutral white;1600 lm;140;>80;30000;no;no;55;yes;0.5;2;yes;polycarbonate PC;;50;220;220;0;0;
03743;5901477337437;MAJOR LED D 18W WHITE NW;100;03743.jpg;Hermetic fixture;230V 50Hz;18 W;white;;SMD LED, in set;no;no;4000;neutral white;1600 lm;140;>80;30000;no;no;55;yes;0.5;2;yes;polycarbonate PC;;50;220;220;0;0;
03744;5901477337444;LATE LED 3m 180 NW;100;03744.jpg;LED strip;DC 12 V;14,4 W;white;;180 SMD LED 28x35, in set;no;no;4000;neutral white;1740 lm;140;>80;25000;;no;20;no;0.5;3;yes;FR-4;decorative product, 60 SMD LED per 1m, 3m per roll, can be cut every 3 LEDs at cutting marks;2;3000;8;0;0;
03745;5901477337451;LATE LED 3m 180 NW IP65;100;03745.jpg;LED strip;DC 12 V;14,4 W;white;;180 SMD LED 28x35, in set;no;no;4000;neutral white;1740 lm;140;>80;25000;;no;65;no;0.5;3;yes;FR-4;decorative product, 60 SMD LED per 1m, 3m per roll, can be cut every 3 LEDs at cutting marks;2;3000;8;0;0;
03746;5901477337468;LATE LED 5m 300 NW;100;03746.jpg;LED strip;DC 12 V;24 W;white;;300 SMD LED 28x35, in set;no;no;4000;neutral white;2900 lm;140;>80;25000;;no;20;no;0.5;3;yes;FR-4;decorative product, 60 SMD LED per 1m, 5m per roll, can be cut every 3 LEDs at cutting marks;2;5000;8;0;0;
03747;5901477337475;LATE LED 5m 300 NW IP65;100;03747.jpg;LED strip;DC 12 V;24 W;white;;300 SMD LED 28x35, in set;no;no;4000;neutral white;2900 lm;140;>80;25000;;no;65;no;0.5;3;yes;FR-4;decorative product, 60 SMD LED per 1m, 5m per roll, can be cut every 3 LEDs at cutting marks;2;5000;8;0;0;
03748;5901477337482;ROXANA LED 5W CHROME NW;100;03748.jpg;Decorative SMD LED fitting;230V 50Hz;5 W;chrome;;SMD LED, in set;no;no;4000;neutral white;330 lm;110;>80;30000;no;no;44;no;0.5;2;yes;aluminium, glass;for operation in increased-humidity locations, e.g. bathrooms;39;300;111;0;0;
03749;5901477337499;ROXANA LED 13W CHROME NW;100;03749.jpg;Decorative SMD LED fitting;230V 50Hz;13 W;chrome;;SMD LED, in set;no;no;4000;neutral white;845 lm;110;>80;30000;no;no;44;no;0.5;2;yes;aluminium, glass;for operation in increased-humidity locations, e.g. bathrooms;39;600;111;0;0;
03750;5901477337505;ROXANA LED 15W CHROME NW;100;03750.jpg;Decorative SMD LED fitting;230V 50Hz;15 W;chrome;;SMD LED, in set;no;no;4000;neutral white;968 lm;110;>80;30000;no;no;44;no;0.5;2;yes;aluminium, glass;for operation in increased-humidity locations, e.g. bathrooms;39;900;111;0;0;
03751;5901477337512;KAJKA C CHROME;100;03751.jpg;Ceiling lighting point fitting;12V;max 50 W;chrome;GU5.3;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;3;yes;steel sheet;;30;90;90;68;0;
03752;5901477337529;KAJKA C MATCHR;100;03752.jpg;Ceiling lighting point fitting;12V;max 50 W;matt chrome;GU5.3;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;3;yes;steel sheet;;30;90;90;68;0;
03753;5901477337536;KAJKA C WHITE;100;03753.jpg;Ceiling lighting point fitting;12V;max 50 W;white;GU5.3;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;3;yes;steel sheet;;30;90;90;68;0;
03754;5901477337543;ADIS LED D SLIM MVS 20W NW;100;03754.jpg;Ceiling light fitting with a motion sensor;230V 50Hz;20 W;white;;SMD LED, in set;no;no;4000;neutral white;1360 lm;160;>80;30000;no;no;44;no;0.5;1;yes;steel sheet, plastic;microwave motion detector included: angle 180°/360° (V/H), range max 8m, lighting time adjustment 10s-12min, ambient light level setting (3-2000lx), operating frequency 5,8GHz, transmitter power 1,2mW MAX;68;280;280;0;0;
03755;5901477337550;ADIS LED D SLIM MVS 28W NW;0;03755.jpg;Ceiling light fitting with a motion sensor;230V 50Hz;28 W;white;;SMD LED, in set;no;no;4000;neutral white;1900 lm;160;>80;30000;no;no;44;no;0.5;1;yes;steel sheet, plastic;microwave motion detector included: angle 180°/360° (V/H), range max 8m, lighting time adjustment 10s-12min, ambient light level setting (3-2000lx), operating frequency 5,8GHz, transmitter power 1,2mW MAX;71;330;330;0;0;
03756;5901477337567;SOLA LED C SLIM MVS 24W NW;37;03756.jpg;Ceiling light fitting with a motion sensor;230V 50Hz;24 W;white;;SMD LED, in set;no;no;4000;neutral white;1625 lm;160;>80;30000;no;no;44;no;0.5;1;yes;steel sheet, plastic;microwave motion detector included: angle 180°/360° (V/H), range max 8m, lighting time adjustment 10s-12min, ambient light level setting (3-2000lx), operating frequency 5,8GHz, transmitter power 1,2mW MAX;63;330;330;0;0;
03757;5901477337574;SOLA LED D SLIM MVS 20W NW;0;03757.jpg;Ceiling light fitting with a motion sensor;230V 50Hz;20 W;white;;SMD LED, in set;no;no;4000;neutral white;1360 lm;160;>80;30000;no;no;44;no;0.5;1;yes;steel sheet, plastic;microwave motion detector included: angle 180°/360° (V/H), range max 8m, lighting time adjustment 10s-12min, ambient light level setting (3-2000lx), operating frequency 5,8GHz, transmitter power 1,2mW MAX;68;280;280;0;0;
03758;5901477337581;SOLA LED D SLIM MVS 28W NW;100;03758.jpg;Ceiling light fitting with a motion sensor;230V 50Hz;28 W;white;;SMD LED, in set;no;no;4000;neutral white;1900 lm;160;>80;30000;no;no;44;no;0.5;1;yes;steel sheet, plastic;microwave motion detector included: angle 180°/360° (V/H), range max 8m, lighting time adjustment 10s-12min, ambient light level setting (3-2000lx), operating frequency 5,8GHz, transmitter power 1,2mW MAX;71;330;330;0;0;
03759;5901477337598;MANAM GU10 1D WHITE;100;03759.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;max 35 W;white;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;steel sheet, aluminium;;160;75;75;0;0;
03760;5901477337604;MANAM GU10 2L WHITE;100;03760.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;2 x max 35 W;white;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;steel sheet, aluminium;;160;250;75;0;0;
03761;5901477337611;MANAM GU10 3L WHITE;100;03761.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;3 x max 35 W;white;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;steel sheet, aluminium;;160;395;75;0;0;
03762;5901477337628;MANAM GU10 4D WHITE;100;03762.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;4 x max 35 W;white;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;steel sheet, aluminium;;160;250;250;0;0;
03763;5901477337635;MANAM GU10 1D BLACK;100;03763.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;steel sheet, aluminium;;160;75;75;0;0;
03764;5901477337642;MANAM GU10 2L BLACK;100;03764.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;2 x max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;steel sheet, aluminium;;160;250;75;0;0;
03765;5901477337659;MANAM GU10 3L BLACK;100;03765.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;3 x max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;steel sheet, aluminium;;160;395;75;0;0;
03766;5901477337666;MANAM GU10 4D BLACK;100;03766.jpg;Wall & ceiling lighting fitting;220-240V 50/60Hz;4 x max 35 W;black;GU10;LED;yes;;0;;;0;;0;no;yes;20;no;0.5;1;yes;steel sheet, aluminium;;160;250;250;0;0;
03767;5901477337673;OLGA LED C 12W WHITE CCT;100;03767.jpg;Ceiling SMD LED lighting fitting;230V 50Hz;12 W;white;;SMD LED, in set;no;no;3000;warm white/neutral white/cold white;1160 lm;120;>80;30000;no;no;20;no;0.3;2;yes;plastic, polycarbonate PC;driver included, white light adjustable (WW, NW, CW), surface and recessed installation;18;167;167;0;0;
03768;5901477337680;OLGA LED C 18W WHITE CCT;100;03768.jpg;Ceiling SMD LED lighting fitting;230V 50Hz;18 W;white;;SMD LED, in set;no;no;3000;warm white/neutral white/cold white;1820 lm;120;>80;30000;no;no;20;no;0.3;2;yes;plastic, polycarbonate PC;driver included, white light adjustable (WW, NW, CW), surface and recessed installation;18;220;220;0;0;
03769;5901477337697;OLGA LED C 24W WHITE CCT;100;03769.jpg;Ceiling SMD LED lighting fitting;230V 50Hz;24 W;white;;SMD LED, in set;no;no;3000;warm white/neutral white/cold white;2490 lm;120;>80;30000;no;no;20;no;0.3;2;yes;plastic, polycarbonate PC;driver included, white light adjustable (WW, NW, CW), surface and recessed installation;18;298;298;0;0;
03770;5901477337703;KROMA LED 10W GREY NW;100;03770.jpg;SMD LED floodlight;230V 50Hz;10 W;grey;;SMD LED, in set;no;no;4200;neutral white;870 lm;120;>80;30000;no;yes;65;yes;0.5;1;yes;aluminium alloy cast, glass;;80;111;24;0;0;
03771;5901477337710;KROMA LED 10W GREY CW;100;03771.jpg;SMD LED floodlight;230V 50Hz;10 W;grey;;SMD LED, in set;no;no;6200;cold white;850 lm;120;>80;30000;no;yes;65;yes;0.5;1;yes;aluminium alloy cast, glass;;80;111;24;0;0;
03772;5901477337727;KROMA LED S 10W GREY NW;0;03772.jpg;SMD LED floodlight with a motion sensor;230V 50Hz;10 W;grey;;SMD LED, in set;no;no;4200;neutral white;870 lm;120;>80;30000;no;yes;65;yes;0.5;1;yes;aluminium alloy cast, glass, plastic;driver included, range 30°/120° (V/H), maximum motion detection range is 8m (<24°), lighting time regulation between 5 s and 8 min, possibility of setting ambient lighting intensity (20-2000 lx) at which the equipment operates;150;111;50;0;0;
03773;5901477337734;KROMA LED S 10W GREY CW;100;03773.jpg;SMD LED floodlight with a motion sensor;230V 50Hz;10 W;grey;;SMD LED, in set;no;no;6200;cold white;850 lm;120;>80;30000;no;yes;65;yes;0.5;1;yes;aluminium alloy cast, glass, plastic;driver included, range 30°/120° (V/H), maximum motion detection range is 8m (<24°), lighting time regulation between 5 s and 8 min, possibility of setting ambient lighting intensity (20-2000 lx) at which the equipment operates;150;111;50;0;0;
03774;5901477337741;BAZA 11;100;03774.jpg;Tripod;;;black;;;;;0;;;0;;0;;;0;;0;0;yes;ABS;;110;210;210;0;0;
